timestamp,cmg_close,spy_close,vix_close
2016-01-04 05:00:00+00:00,448.81,201.0192,14.2
2016-01-05 05:00:00+00:00,449.03,201.36,13.71
2016-01-06 05:00:00+00:00,426.67,198.82,14.16
2016-01-07 05:00:00+00:00,416.0,194.05,15.68
2016-01-08 05:00:00+00:00,413.29,191.923,16.49
2016-01-11 05:00:00+00:00,411.1,192.11,15.97
2016-01-12 05:00:00+00:00,404.26,193.6608,15.19
2016-01-13 05:00:00+00:00,428.28,188.83,16.76
2016-01-14 05:00:00+00:00,454.3,191.93,16.13
2016-01-15 05:00:00+00:00,475.94,187.81,17.74
2016-01-19 05:00:00+00:00,469.47,188.06,17.74
2016-01-20 05:00:00+00:00,465.5,185.65,18.2
2016-01-21 05:00:00+00:00,461.2,186.69,18.12
2016-01-22 05:00:00+00:00,450.76,190.52,16.6
2016-01-25 05:00:00+00:00,442.17,187.64,17.39
2016-01-26 05:00:00+00:00,448.15,190.2,16.58
2016-01-27 05:00:00+00:00,442.64,188.13,17.27
2016-01-28 05:00:00+00:00,453.08,189.11,16.71
2016-01-29 05:00:00+00:00,452.97,193.7208,15.99
2016-02-01 05:00:00+00:00,472.64,193.65,15.79
2016-02-02 05:00:00+00:00,475.67,190.16,16.84
2016-02-03 05:00:00+00:00,461.74,191.3,16.65
2016-02-04 05:00:00+00:00,470.9,191.6,16.81
2016-02-05 05:00:00+00:00,460.14,187.95,17.48
2016-02-08 05:00:00+00:00,445.0,185.42,18.32
2016-02-09 05:00:00+00:00,440.93,185.43,18.48
2016-02-10 05:00:00+00:00,448.81,185.27,18.61
2016-02-11 05:00:00+00:00,461.39,182.86,19.76
2016-02-12 05:00:00+00:00,480.57,186.63,18.94
2016-02-16 05:00:00+00:00,492.94,189.78,18.06
2016-02-17 05:00:00+00:00,514.01,192.88,17.33
2016-02-18 05:00:00+00:00,515.93,192.09,17.29
2016-02-19 05:00:00+00:00,511.58,192.0,16.84
2016-02-22 05:00:00+00:00,525.9,194.78,15.89
2016-02-23 05:00:00+00:00,525.06,192.32,16.7
2016-02-24 05:00:00+00:00,514.86,193.2,16.58
2016-02-25 05:00:00+00:00,505.33,195.54,15.99
2016-02-26 05:00:00+00:00,506.01,195.0892,16.24
2016-02-29 05:00:00+00:00,509.16,193.35,16.46
2016-03-01 05:00:00+00:00,509.97,198.11,15.05
2016-03-02 05:00:00+00:00,525.69,199.0,14.77
2016-03-03 05:00:00+00:00,524.29,199.775,14.3
2016-03-04 05:00:00+00:00,529.0,200.43,14.46
2016-03-07 05:00:00+00:00,533.69,200.59,14.5
2016-03-08 05:00:00+00:00,524.69,198.4,15.05
2016-03-09 05:00:00+00:00,506.63,199.38,14.85
2016-03-10 05:00:00+00:00,503.68,199.54,14.56
2016-03-11 05:00:00+00:00,507.85,202.76,13.85
2016-03-14 04:00:00+00:00,515.73,202.5,13.61
2016-03-15 04:00:00+00:00,503.0,202.17,13.81
2016-03-16 04:00:00+00:00,500.35,203.34,13.32
2016-03-17 04:00:00+00:00,471.59,204.63,12.9
2016-03-18 04:00:00+00:00,455.37,204.38,12.8
2016-03-21 04:00:00+00:00,462.48,204.67,12.44
2016-03-22 04:00:00+00:00,471.76,204.56,12.26
2016-03-23 04:00:00+00:00,474.46,203.2092,12.86
2016-03-24 04:00:00+00:00,471.37,203.12,12.79
2016-03-28 04:00:00+00:00,475.31,203.24,12.61
2016-03-29 04:00:00+00:00,460.0,205.1208,11.87
2016-03-30 04:00:00+00:00,466.15,206.02,11.59
2016-03-31 04:00:00+00:00,470.97,205.52,11.68
2016-04-01 04:00:00+00:00,464.81,206.92,11.32
2016-04-04 04:00:00+00:00,465.0,206.25,11.64
2016-04-05 04:00:00+00:00,463.42,204.19,12.29
2016-04-06 04:00:00+00:00,455.25,206.42,11.48
2016-04-07 04:00:00+00:00,450.6,203.95,12.54
2016-04-08 04:00:00+00:00,451.25,204.4992,12.23
2016-04-11 04:00:00+00:00,444.21,204.0201,12.4
2016-04-12 04:00:00+00:00,444.62,205.92,11.97
2016-04-13 04:00:00+00:00,444.66,208.0008,11.4
2016-04-14 04:00:00+00:00,456.01,208.01,11.35
2016-04-15 04:00:00+00:00,469.29,207.78,11.2
2016-04-18 04:00:00+00:00,460.12,209.2392,10.5
2016-04-19 04:00:00+00:00,455.18,209.9,10.59
2016-04-20 04:00:00+00:00,458.0,210.1,10.66
2016-04-21 04:00:00+00:00,448.14,208.97,10.86
2016-04-22 04:00:00+00:00,442.73,208.97,10.58
2016-04-25 04:00:00+00:00,443.1,208.61,10.7
2016-04-26 04:00:00+00:00,445.92,208.9192,10.48
2016-04-27 04:00:00+00:00,417.22,209.35,10.17
2016-04-28 04:00:00+00:00,423.4,207.4475,10.76
2016-04-29 04:00:00+00:00,420.97,206.3308,11.1
2016-05-02 04:00:00+00:00,433.5,207.97,10.45
2016-05-03 04:00:00+00:00,437.95,206.1592,10.92
2016-05-04 04:00:00+00:00,433.3,205.01,11.06
2016-05-05 04:00:00+00:00,435.0,204.97,11.06
2016-05-06 04:00:00+00:00,433.81,205.72,10.56
2016-05-09 04:00:00+00:00,453.17,205.8892,10.33
2016-05-10 04:00:00+00:00,455.59,208.45,9.82
2016-05-11 04:00:00+00:00,454.0,206.5,10.16
2016-05-12 04:00:00+00:00,457.01,206.56,10.03
2016-05-13 04:00:00+00:00,458.35,204.76,10.38
2016-05-16 04:00:00+00:00,444.56,206.78,9.9
2016-05-17 04:00:00+00:00,446.08,204.8508,10.35
2016-05-18 04:00:00+00:00,448.61,204.91,10.31
2016-05-19 04:00:00+00:00,450.64,204.2,10.36
2016-05-20 04:00:00+00:00,449.92,205.49,9.99
2016-05-23 04:00:00+00:00,456.44,205.21,9.93
2016-05-24 04:00:00+00:00,457.33,207.87,9.51
2016-05-25 04:00:00+00:00,458.04,209.28,9.34
2016-05-26 04:00:00+00:00,452.03,209.34,9.24
2016-05-27 04:00:00+00:00,445.41,210.24,9.0
2016-05-31 04:00:00+00:00,441.96,209.84,8.98
2016-06-01 04:00:00+00:00,432.59,210.27,8.88
2016-06-02 04:00:00+00:00,443.49,210.91,8.66
2016-06-03 04:00:00+00:00,433.94,210.28,8.61
2016-06-06 04:00:00+00:00,445.27,211.35,8.51
2016-06-07 04:00:00+00:00,433.39,211.68,8.52
2016-06-08 04:00:00+00:00,429.2,212.37,8.58
2016-06-09 04:00:00+00:00,415.79,212.08,8.73
2016-06-10 04:00:00+00:00,405.26,210.07,9.52
2016-06-13 04:00:00+00:00,394.0,208.4492,10.95
2016-06-14 04:00:00+00:00,395.27,208.04,10.69
2016-06-15 04:00:00+00:00,390.31,207.75,10.58
2016-06-16 04:00:00+00:00,393.55,208.37,10.31
2016-06-17 04:00:00+00:00,397.27,206.52,10.31
2016-06-20 04:00:00+00:00,396.94,207.85,9.58
2016-06-21 04:00:00+00:00,391.96,208.44,9.64
2016-06-22 04:00:00+00:00,392.99,208.1,9.98
2016-06-23 04:00:00+00:00,408.89,210.81,8.98
2016-06-24 04:00:00+00:00,400.73,203.2425,11.14
2016-06-27 04:00:00+00:00,388.78,199.6,11.13
2016-06-28 04:00:00+00:00,391.67,203.1997,10.0
2016-06-29 04:00:00+00:00,409.49,206.66,9.47
2016-06-30 04:00:00+00:00,402.76,209.475,9.16
2016-07-01 04:00:00+00:00,393.91,209.9208,8.89
2016-07-05 04:00:00+00:00,396.38,208.41,9.05
2016-07-06 04:00:00+00:00,401.05,209.66,8.83
2016-07-07 04:00:00+00:00,390.78,209.526,8.67
2016-07-08 04:00:00+00:00,399.71,212.65,8.1
2016-07-11 04:00:00+00:00,403.18,213.4,8.11
2016-07-12 04:00:00+00:00,408.34,214.95,7.92
2016-07-13 04:00:00+00:00,416.63,214.92,7.81
2016-07-14 04:00:00+00:00,417.98,216.12,7.78
2016-07-15 04:00:00+00:00,404.86,215.83,7.76
2016-07-18 04:00:00+00:00,408.9,216.4092,7.62
2016-07-19 04:00:00+00:00,415.31,216.19,7.6
2016-07-20 04:00:00+00:00,419.68,217.085,7.39
2016-07-21 04:00:00+00:00,418.07,216.265,7.61
2016-07-22 04:00:00+00:00,442.48,217.24,7.42
2016-07-25 04:00:00+00:00,441.52,216.65,36.85
2016-07-26 04:00:00+00:00,430.85,216.75,36.52
2016-07-27 04:00:00+00:00,426.06,216.52,35.69
2016-07-28 04:00:00+00:00,430.55,216.77,35.02
2016-07-29 04:00:00+00:00,423.99,217.12,33.82
2016-08-01 04:00:00+00:00,414.08,216.94,33.22
2016-08-02 04:00:00+00:00,402.64,215.5492,34.56
2016-08-03 04:00:00+00:00,402.56,216.18,33.69
2016-08-04 04:00:00+00:00,397.2,216.4097,32.71
2016-08-05 04:00:00+00:00,401.13,218.18,31.63
